Emotion,Text
Enjoyment,:)) b?t nh?c lên và qu?y thôi
Enjoyment,nhà tôi còn nè
Enjoyment,per theo v? ngh? n?u là ch?ng thì ch?c con ?ó dù là gi? c?ng s? lên n?i
Enjoyment,món này ngon vãi
Sadness,per viêm màn túi c?p nghiêm tr?ng
Disgust,kinh vãi
Other,??n bao gi? m?i nh?n ???c ti?n nh?
Enjoyment,d?m ba con nh?n ngh? tao s? (((=
Sadness,ngày bu?n hôm ?y tôi c?ng là ng??i r?i kh?i l?p cu?i cùng .!!!
Disgust,"mình mu?n tag m?y ông hàng xóm vào ?ây ?? các bác ?y bi?t r?ng , bác ?y không ch? bu?n mà còn hát r?t d?"
Enjoyment,là m?i bu?i sáng th?c d?y ta có thêm 1 ngày m?i ?? yêu th??ng ??.
Enjoyment,dume d? th??ng vãi ??
Anger,?a làm gì ?ánh tao mu?n ch?t v?y ?u? ?
Other,sau này nh?t ??nh ph?i nói chuy?n l?ch s? :)))) không ph?i m?t ng??i ??c mà là m?i ng??i cùng ??c =))))
Enjoyment,"3s ?? tôi nói tôi yêu em và c? quãng ??i còn l?i ?? tôi ch?ng minh l?i tôi nói :"" tôi yêu em """
Enjoyment,?m h?n c? ng??i yêu :))
Enjoyment,e lên mang câu chuy?n này ?i thi thách th?c danh hài . r?t duyên
Enjoyment,th?y topic ?úng tâm tr?ng quá .
Other,ch?p không bi?t bao nhiêu l?n r?i
Enjoyment,bài này hay tuy?t v?i ??y ??
Other,th?t ra là nó mu?n ki?m em gái anh trai m?a ??y
Sadness,"ai mang ?? ?n cho anh ?y ?i , k?o ?ói t?i nghi?p"
Sadness,"coi khúc ??u không hi?u , ??n lúc ?ng b??c ra kh?i làn khói , th?t không th? c?m ???c n??c m?t"
Other,r?t bi?t cách ng?i ??y nh? ????
Other,per phim ?ó thì nam chính hay n? chính ??u ch?y c?
Fear,m?y con yêu nghi?t ngày x?a n?i có nuôi 2 con c? ra ??ng sau là nó dí ch?y mu?n tu?t m? qu?n ????
Other,"h?i x?a , gi? yêu ki?u ng??i l?n c? mà"
Enjoyment,có v? nên l?m . váy m?i ngày tr??c toàn áo ch?m bi c?a m? ????
Enjoyment,nó c?ng quá mày
Surprise,tr?i có b?n nh?n ra mình luôn à @@
Sadness,????????????
Fear,tao nhìn s? vãi
Enjoyment,c?m ?n b?n ?ã yêu ??t n??c vi?t nam tôi
Other,quan tr?ng là ông bà n?i ngo?i b?n ph?i giàu cái ?ã
Enjoyment,"ch?c ông ch?ng h?nh phúc l?m khi s?ng chung v?i ng??i v? nh? v?y , nh?ng ??a con ch?c c?ng yêu m? h? l?m ! mà th?c ra là gi?ng v?i m? t? l?m kkk"
Sadness,ewww mình ch?ng gi? ???c gì huhu
Surprise,v?y c?ng ???c luôn h? ? ??
Enjoyment,"b? phim này xem r?t s??ng . và rút ra ???c khám phá là th? tuy?t v?i nh?t ch? không ph?i b?ng c?p . giá nh? m?y ông "" b? "" và m?y ông "" ngành "" dành th?i gian xem phim này m?t l?n ."
Sadness,xem không d??i 3 l?n chia s? không d??i 2 l?n nh?ng m?i l?n nhìn th?y l?i xem l?i bu?n
Disgust,bây gi? gái nó ch? c?n bông hoa ??ng ti?n ném vào m?t nó ?? nó ?n tiêu ch? nó c?n gì cái cây lu miên này .
Disgust,"mút này mình x?t n??c cho nó m?m ra , l?y ch?i ?ùa ?ùa l?i quét t?i lúc ngh? vi?c luôn quét c?ng ch?a xong nha , th? nl"
Sadness,và h?n h?t là t?i nó không còn coi mình là con gái n?a
Anger,mo? th?y u ám h?n thì có . dume ??
Fear,hú h?n lon v?n còn
Sadness,"m?t lúc nào ?ó chúng ta s? không nói chuy?n n?a , lúc ?ó có l? em th?t s? ?ã buông b? ???c r?i ..."
Disgust,h?n là th?n tài . mê tín vãi
Disgust,b?t ch?c ?iên tao và b?t leo lên ??u tao ng?i ?? hãy ?? yên cho tao hi?n ??
Enjoyment,per k? ni?m khó quên nh? kkk
Disgust,??t m? hoang ???ng !
Disgust,"cô giáo ch? nhi?m h?i b? kh?n nh? ? cô nh? v?y thì h?c sinh sao này h?c theo cái tính tráo tr? , hai m?t"
Other,xin chúa th??ng xót chúng con
Sadness,lâu quá m?i nghe l?i bài này bu?n th?
Enjoyment,r?t thuy?t ph?c
Other,mình h?i mua r?i mà ng??i ta ki?u n?a mu?n bán n?a không b?n
Sadness,bu?n nh?t là crush c?ng ch? có ?? mà th? ??
Surprise,"? ! th?t là b?t ng? , th?t là thú z? , th?t là liên quan ?"
Enjoyment,per anh t?i cái này v? cho per h?c nè . thú v? ghê
Enjoyment,per làm gì quên ???c kkkkk
Other,nhìn th? thôi nh?ng làm ???c video nh? này c?ng khó l?m hay ph?t ??
Disgust,h?p l?p cái ?éo gì ???c ch?c th?ng = )
Disgust,?a v?y ph?m t?i thì có ?n danh không ? :)) ng? àh
Enjoyment,l?y v? xong anh có v? m?m m?m nh? :333
Enjoyment,d? l?i d? thôi mà . nh? nh? ??????
Anger,cho tao h?i m?y con súc v?t t?i bây c??i cái gì dz?y ? ch?c t?i mày ph?i b? g?y v?t vào mõm thì m?i h?t dám ng?ng m?t nhìn ??i ph?i không ?
Other,b?n nào c?n b?n thân là con trai không :))
Sadness,tao b? qu? c?t c? m?i ác . c? tr??ng bi?t m?t luôn . nh?c vãi
Enjoyment,tao ?ã ?óng d?u c?m ??a nào r? vào =))))
Anger,"dm tu?i th? tao l?i toàn ba th?ng hãm lol , ??c chép bài .... ?ùa ?ùa ?éo cho chép chúng nó ch?i s?p m?t luôn ??"
Anger,và th? ?éo nào chúng nó toàn g?i mình là th?ng ??????
Disgust,khôn lõi ??i à ? ch?a này
Other,c?ng ch? là t?m th?i . ch? khi nào ngu?n n??c b?n thôi ?? vào sông thì m?i ??m b?o ???c .
Enjoyment,per ru con ?? v? ??p m?t n? kìa ?? ?úng là ch?ng ng??i ta ch?a bao gi? làm mình th?t v?ng ??
Other,"th?t thà vãi , mà tao ch? thích ?n xoài chua ."
Other,per v?y c?t l?c luôn =))
Disgust,sao toàn gái ngành v?i b?n ch? t?ch bình lu?n không v?y ??
Other,?ây còn h?n c? vua . giàu mà ngh? l?n làm l?n .
Surprise,b?t ng? thi?t :))))
Enjoyment,"?ang ?a xem c??i nh? ?iên , kkk"
Sadness,nghi?t ngã h?n là phi hành gia ?éo tuy?n m?y ??a lùn :((
Anger,con m? m?t d?y . già mà l?ng loàn . th?y ng??i ta y?u th? h?n mà khôg giúp d?ng cái xe d?y r?i nói v?i nhau vài câu t? t? . l?i còn t? nguy hi?m ??nh ?n c?c ng??i ta ak
Enjoyment,thi?u cái que ch?m d?u là ?n ??
Sadness,bình th??ng tao hay c??i l?m . nh?ng khi t?c tên ... tao l?i khóc . quá y?u ?u?i
Fear,?n ngon nh?ng nóng không ch?u ???c
Fear,v?a ?ây v? ?ông kinh h?n càng v? ?êm càng ?ông
Other,per t? ??i ?ánh r?m vào mà xem
Other,b?p thiiêu chân mày
Disgust,con ng??i ta gi?i nh?t là ?o t??ng v? trí c?a mình trong lòng ng??i khác ??
Disgust,"?úng là tu?i tác nó không ch?ng minh ???c gì c? , già r?i ?n nói không v?n hoá c? ch? hành ??ng t?c t?u h?t nói n?i"
Fear,ra v?y . nguy hi?m th?t :(((
Sadness,per h?t ti?n th?t s? :(
Enjoyment,nóng quá nên ?? lên cho mát thôi mà :))
Enjoyment,c?ng quá :)))
Other,l?i c?a lái tàu nhé
Disgust,ai c?ng b?n c? và không ai r?nh r?i ngày ngày quan tâm b?n ?âu ?
Disgust,nuôi con chó mà ?? ve th? không th?y t?m nh? ?
Enjoyment,tu?i tr? tài cao vãi
Other,vô duyên và hài h??c nó có 1 làn ranh gi?i m?ng manh vãi
Disgust,??ng xa ra thì d? dàng r?i =)) cái ngu ? ?ây là không vi?t ???c nh?ng vãn c? ch?p thôi =))
Sadness,xui thôi ch? quy?n ?ang hay mà ??
Enjoyment,công an béo nh? l?n không ?u?i n?i t?i ph?m ????
Sadness,nh?ng tôi ?éo có b?n trai thì ph?i làm sao ?
Sadness,nhìn cái ngành gd vi?t nam bây gi? ai c?ng m?t m?i
Disgust,"?ó tao ?i h?c t?i 12 , mà dô l?p lì v?n b? th?y cho n?m úp trên bàn tr??c l?p , kéo tà áo dài lên r?i ??p cho m?y cây . gi? quánh thì không cho ( tr? m?y th?y cô yêuc quái cho m?y tr?m cái b?t tai thì không tính ), ph?t qu? thì c?ng lên báo . thua luôn ."
Enjoyment,cái gì mà r?t h?t le tè v?y em gái ??????
Other,per tr??c cái th?i ? tr? nè anh
Fear,s? vãi =)))
Enjoyment,lãng m?n vãi_ch??ng =)))))) 0
Anger,per tao tán s?p m?t
Disgust,vi?c làm và ? th?c c?a nh?ng c? ??ng viên kém quá . m?t hình ?nh bóng ?á per còn m?t 1 t? ti?n ph?t .
Other,sao nhìn nó ??m ?éo có l?c gì h?t nh?
Sadness,mình b? say xe b?n à :(((
Enjoyment,per haha cái t2 h?p v?i em nè ;))
Sadness,v?y là th? gi?i m?t ?i không bi?t bao nhiêu món n??ng r?i :(
Enjoyment,nói th?t :)) tao ch? bu?n c??i khi chúng nó chia tay thôi :))
Surprise,k?t thúc phim b?t ng? quá
Sadness,"m?i xem 1 ?o?n xíu này mà c?ng khóc h?t h?i , nhìn em bé m?t b? mà quay ra nhìn l?i con mình ?? h?n n?m bên c?nh , th?y th??ng quá ??"
Disgust,x?ng ?áng cho cái ngu c?a th?ng oto .. nghi?n nát luôn oto càng t?t .. ?? cho cái l? não ng?n nó hi?u ???c quy ??nh c?a hành lang ???ng s?t là nh? nào .
Enjoyment,? c?ng < 3 < 3
Other,n?u câu chuy?n này ???c li?t kê vào danh s?c câu chuy?n c?m ??ng nh?t tr??ng thì câu chuy?n c?a th? s? ???c li?t vào ?âu ?ây ?????? per
Sadness,"t?i gi?ng nhau quá , nh?ng ??ng nh? ng??i ta nha , ngh? ??n t? t? các th? ch?ng có gì là hay c?"
Disgust,còn tr? trâu l?m c? hai ??a
Other,"mong là n??c pháp s? t?p trung xây d?ng ?n ??nh trong n??c , và ??ng ??ng ch?m t?i n??c khác n?a"
Other,ng?n g?n thôi : th? bây gi? mày mu?n tao d? hay là tao gi? :v
Enjoyment,tao thích con bé nu?t chu?i
Enjoyment,ng ta nuôi vì ni?m ?am mê
Other,tr??ng mình ch? lao công ?óng c?a :((
Disgust,thính ??y ??ng dính . vì 1 ngày nào ??y mày s? nh?n ra không ch? mình mày m?i ???c v?y
Enjoyment,n??c ngoài có ??y mà :))
Enjoyment,bô ? phim khi?n b?n sinh viên có lí do ?? l??i h?c theo li ? thuy?t là ?ây ??
Fear,h?n c? b? phim kinh d? !
Disgust,n?m ngó mi?ng ki?u ?ó ai dám ?n ??????
Enjoyment,c? m?t b?u tr?i ?áng yêu :)))))
Sadness,hic hic mình còn ch? bao gi? ???c gi?n l?i ?y ch? :((
Enjoyment,còn ng??i yêu tao : m?t h?i có m?t anh ??p trai bay l? l?ng r?i ôm l?y em khi em t?m :(((
Enjoyment,nó s? thì th?m tai mày “ d??ng ?ây “ ????
Enjoyment,t?p có l?i v?i th?ng quay phim mà tao xem ba l?n tao v?n c??i ??t ru?t
Sadness,xem xong video t? th?y mình còn không b?ng con chó ...
Disgust,tóm l?i là giá tr? c?a anh ?éo b?ng 1 cái bánh :<
Sadness,cay m?t
Disgust,?ánh cho l?m ?éo th?m mi?ng nào khi main ch? h?t mông 1 phát bay m?t tiêu :))
Disgust,th?ng kia cute ?áng yêu mà cái con ? nó x?u z tr?i haha
Fear,dume ?êm ròii =))) tao c??i vãi tí hàng xóm qua ?ánh b? m?
Surprise,sao cái gì em c?ng bi?t v?y :)))
Other,per ?úng là nh? th?
Enjoyment,công nh?n ng?u th?t
Other,tình yêu ?âu phân bi?t là gay hay không gay vì ?ó là s? l?a c?a con tim mà h? ?ã nh?m t?i !.
Disgust,dhs nhìn th?ng ??u tiên trông ?n vãi :| ch? em bg thích style l? ghê ta :| bá khí ????
Other,môi tr??ng làm vi?c là y?u t? quy?t ??nh
Sadness,nh? l?m .. cay m?t l?m ....
Enjoyment,ph :)) phê h?n c? c?n nhé . nên mua cái này v? dùng t?t cho chó và ng??i :)))
Sadness,m?t r?i có l?y l?i ???c ?âu :)) cái gì nó c?ng ch? là quá kh?
Disgust,?éo mang não ... tay l?i nhanh h?n não r?i ..
Sadness,??c gì ???c gi?n l?i ??
Sadness,nó b? mình ?i r?i m?i l?n ngh? t?i nó ôi sao mà xót tim gan h?n m?t ng??i yêu
Sadness,ngày cu?i cùng th?c s? bu?n
Sadness,n?u là tao thì tao s? không ?n ???c mi?ng nào
Disgust,b?n r?i ?inh nó ?éo bi?t xe ?i nhanh mà b? xì l?p thì nh? th? nào ??? ?????? não lol
Sadness,ngoài ra còn m?t s? cái bu?n n?a . không gi?i quy?t k?p th?i thì ??
Enjoyment,nghe nói d?o này b?n d??ng da ?? ki?m ng??i yêu per
Other,"em ?i xe ??p , có g?i bao gi? ?âu mà bi?t bác ?iii"
Enjoyment,"chu?n ?ó , mà quên ch?a có ng??i yêu"
Sadness,"t?p th? n?m nay l?i làm mình ti?c nu?i t? thành viên ??n gvcn :,(("
Other,??c có ch? vô lí vãi
Enjoyment,có khi nào mình thích anh hàng xóm vì mình thích con mèo nhà anh không nh? :<
Enjoyment,? tao tao thông minh thi?t ?ã d?ng l?i ?úng lúc
Other,nghe ?o ghê nh?ng c?ng có l?
Disgust,"?éo ki?m ra ti?n , n?u có 3 b?a c?m v?i ??a ?ón con ?i h?c mà còn không xong , ch?c ?? m? già làm h? hay ?? ch?ng nó ?i ki?m ti?n v? r?i nó h?u cho"
Other,??c khoét tu?i th? vãi ;)))
Disgust,nhi?u b?n c? phán n? kia n?ng l?i quá . ch? là b?n ? có cách bóc ph?t duyên dáng và hài h??c thôi . ch? ?âu có n?ng n? nh? các bác ngh? ..
Other,b?o ba m? d?n ?i bác s? ngay ?i
Enjoyment,ui c?ng quá
Enjoyment,không bi?t s ch? ngày lúc 17t tao ?i ph?c v? phòng karaoke ... mình tao 2 phòng ch?y qua ch?y l?i m?t quá vì x?n ... kkk . th? là tao ngh? trong ngày ??u vào ph?c v? karaoke .??????
Surprise,tôi là ai ?ây là ?âu :v tôi ?ã làm gì sai :3
Fear,nghi?p h?i n?ng nha !. làm h?t h?n
Anger,"m?y th?ng ngáo ?? cho ch?t m? nó ?i cho xã h?i yên bình , quan tâm làm gì"
Sadness,mình còn ch?a k?p ??n :((
Other,"per tìm tao con nh?n này , con này lãng m?n coá"
Disgust,v?a m?i xem hqua . k?t thúc phim nh?t quá ????
Sadness,làm công nhân ?ã kh? r?i mà t?i nó còn n? lòng nào h?i ng??i ta nh?n tin
Sadness,m?t bà cái tu?i th? -.-
Other,ko nh?ng công khai . mà ph?i cho thi l?i . ?? bi?t ?úng th?c l?c
Anger,?ã b?o b? mà m?t v? r?i ! h?i l?m h?i l?n
Fear,hú h?n hà
Other,per b?p ga nha
Enjoyment,r?nh r?nh ng?i c?a bàn v?i c?a c? thèn ng?i g?n m?i khi nó gh?o c?ng vui ??
Enjoyment,per tao th?y tao trong ?ó ahahahaha
Other,ai bi?t bài nh?c ?o?n này không ?
Enjoyment,tao mu?n con mèo thôi =))
Sadness,v? tan là nh? th? ?y
Other,?úng ch?t ng??i ??p m?c r? rách c?ng ??p
Sadness,"per huhu ?úng quá nè :< s? ph? ?i r?i , còn per thôi , ??ng ?i ?âu n?a nhaaa ??"
Sadness,th??ng quá . géc nh?t nh?ng ng??i nuôi chó mà không ch?m ... t?i cho ki?p em nó g?p ph?i 1 ng??i ch? nh? v?y . thân th??ng !
Fear,nhìn mà n?i h?t da gà
Other,h?n l?p ?ó nhi?u n? l?m ha
Sadness,ngày tao chia tay tao khóc quá tr?i luôn
Disgust,??a l?n nào v? cái ? ?i?n th? ??
Surprise,công tình yêu này nhân viên ?ông v?y luôn h? ?
Sadness,ai giúp bé v?i hix
Sadness,"200 n?m xây d?ng , t?n t?i 800 n?m , th?t là ti?c cho n??c pháp ."
Other,per là ai th? nh? c? :))
Enjoyment,?ôi khi ?i tù ch? ?? tho? mãi thú vui
Enjoyment,thô nh?g th?t :))
Other,nhìn l?i gi? ?éo bi?t vì sao ngày x?a mình ?? ??i h?c
Other,?ã tìm ra c? t? c?a nh?ng chi?c s?ng
Sadness,c?m th?y mình th?t b?i :((
Disgust,hãm 1 r? l?n . chúc m?ng b?n ?ã ch?n nh?m ng??i ?? tâm th?
Disgust,"chân ng?n nh? tao thêm combo m?p n?a thì tao ?éo nha? ?âu , tao th? mình trôi sông luôn cho l? ??"
Enjoyment,có ng??i yêu coi b? c?ng vui ??
Sadness,trong mv mà có tao ??ng d??i m?a n?a thì bu?n ph?i bi?t
Surprise,?i vi?n thôi mà có c?n ph?i ??p v?y không
Other,"thôi xong nhá , m?y ??a mà xác ??nh làm r?ng c? ??i thì ... t?p xác ??nh"
Disgust,"th?ng chém gió lúc bà ?y ??y ông ?y vào nhà th??ng ?iên ( tâm th?n ) sao mày không m? m?m ra nói ....! gi? thì “ gió chi?u nào theo chi?u ?y ” cho th?ng nh? này n?m ? công ty thì không khác chu?t b? , r?n r?t"
Disgust,dume th?ng ghép nh?c nhé ????????
Other,per thay ??i ??i t? nhân x?ng .
Other,"tr?a nay nhà em ?n c?m , admin nói v?i m?y chú truy?n hình ??ng chi?u tin này lên nha"
Anger,"c? mua cái ?o?n ???ng này ch?a c? , ?g n?u không c?m ?? xe thì ng??i ta có quy?n ?? thôi , ghét nh?t cái ki?u coi lòng ?g nh? nhà mình r?i v?a ?? cái xe vào là ra ch?i . dcm"
Anger,tao mà bi?t t?i bây là m?y con ?? nào tao nh? lông l?n tao l?c hai cái mép l?n ch?t m? t?i bây ??
Other,?n nhi?u mau kho? .. tôm cá ?y mày giàu canxi
Enjoyment,có ai xem ?i xem l?i nh? tao mà v?n c??i ?éo nh?t ???c m?m không ? :))
Sadness,nh? nhàng bay lên và h? cánh th?t b?i do l?i k? thu?t
Disgust,per cái ?ó là ngu ch? thik ?éo gì
Sadness,l?i thêm m?t con ngáo b?t h?nh
Disgust,"tu?i th? c?a tôi toàn g?p nh?ng th?ng nh?n m? lên ch?i nhau , xách giày dí nhau ch?y ."
Other,sao mày không ngh? l?i thêm 1 th?ng b? noá x? th?t ??????
Sadness,ch? bi?t xem và ng?m ngùi l??t qua
Sadness,th?t tình là r?t xin l?i anh ? trog video . hi v?ng s? g?p ?u?c anh ?? xin l?i và t? t?i v?i anh . th?t ra h?p quà trong video là c?a con lol per v?i ng??i yêu nó t?ng nhau d?p sinh nh?t . híccc
Enjoyment,hihi lâu l?m rùi m?i th?y nó
Other,ch?c gái x?u :p
Disgust,"n?u ch?p hành nghiêm ch?nh lu?t giao thông ai ph?t mình ???c nh? . c?ng gi?ng nh? ?i h?c không thu?c bài giáo viên cho 0 ? là ph?i r?i . t?t c? là do ? th?c con ng??i , ??ng ?? l?i cho ai . ????"
Enjoyment,mình tr? phòng là ch?n ga g?p g?n gàng . ?? ??c h?n hoi tr? ng??i ta . dù sao mình c?ng nh? ng??i ta b?n d?n mãi không s?ch ai ch?ng ?iên
Other,quan tr?ng ph?i là th?n thái
Enjoyment,gi?ng l?i còn ?m n?a ch? ??
Disgust,ích k? . c? ???ng tr??c c?a là c?a nhà mình ah mà ra ?u?i ng??i ta
Disgust,th?ng kia l?m lông quá nha :))
Anger,per anh ?i mua ??p 1 phát vào m?t t?i chê mình ?i anh
Sadness,g?n nhà tao l?i ch?ng còn sót l?i anh nào huhu
Fear,khi t?t ?i m?i th?y ng?t th? .
Enjoyment,ra sông mò ??ng xu cùng ông anh hàng xóm ???c kho?n k?ch xù :)))
Disgust,t??ng khoe ng??i yêu
Other,quán tao v? s?p xu?ng h?n m?a
Sadness,b? phim ??u tiên làm tao khóc thành ti?ng
Fear,"h?i x?a vào trông nhà cho ông bà , thuê ??a võ thu?t này xem cho m?nh mé ?? s? mà thuê ngay ??a này . ám ?nh qu? nh?c tao tao téo vãi"
Sadness,? thì là chuy?n c? tích . cháu ?ang ?i ???ng th?ng g?p m?y chú thì ph?i r? ngang . ????
Anger,heo vàng cái lol . toàn b?p nhau . má nó g?p heo vàng 20 l?n trúng mà nó toàn ???c t?ng 6sms mi?n phí r?i thì thêm 1 l??t g?p
Disgust,qu? cr7 mà kill ?éo gì nh?
Disgust,cay cái ông ch?p ?nh ch?p góc nào cho ông ? b?t kh? ?i ???c không
Anger,nhà nào nuôi nó mà ác th?
Sadness,m?i l?n quy?t tâm b? mà l?i th?y c??i . ?m ??i
Disgust,con này tu?i gì v?i con nhái v?i con th?n l?n :))) per
Surprise,wtf n?ng r?i mà @@
Disgust,cái t?i s? mông ng??i ta ??
Sadness,nh?ng nó s? to và r?ng ra :(
Disgust,tao ?éo th?y nó hay tr? lào mà b?n nó cu?ng vãi
Enjoyment,ny tao ?bh d?i . ch?c ki?u gì c?ng không d?i . ?áng yêu vãi ??
Enjoyment,không ph?i thích c?a c?i mà là thích ? chí c?a h? . ?àn ông có chí ti?n th? bao gi? c?ng quy?n r?
Other,??c m? là không c?n h?c c?ng gi?i
Sadness,""" h?c t? b? nh?ng th? tr?i không cho "" nói thì d? nh?ng nhi?u lúc quy?t tâm l?m v?n không làm ???c .. ??????"
Other,"quê tao mà , tao nhìn 1 cái là bi?t ngay"
Fear,t? lúc ??y tao không ?n ???c các lo?i th?t ngan - ng?ng - v?t lun ?? ám ?nh vãi
Other,per ai c?ng ?i mà ?em v? nh? tao thì không c?n ph?i có công nhân v? sinh r?i
Disgust,g?m quá . nh? l?i lúc còn ??p xe ?i h?c cán qua m?y l? nay kêu b?p b?p r?n hêt c? da gà da v?t ????????
Sadness,c?ng mu?n v?t giày c? nh?ng l?i không có ti?n mua giày m?i . ?ành ch?p nh?n ?au chân v?y
Fear,"mong là b? m? mình không ??c ???c tin này , s? vãi"
Fear,s? vãi
Enjoyment,?i cho vui ch? ch? mua s?m gì :)))) ng??i every where
Sadness,"thà bi?t r?i ?au 1 l?n cho t?n r?i thôi , ch? ??ng ?? n?i ?au c? day d?n gi?ng xé mãi c? ??i ?"
Anger,còn không ng?i xu?ng d?n ph? em nó mà ng?i b?m ?i?n tho?i
Enjoyment,"t nghe nói : ?i t?p gym s? có ng??i yêu ...! awwww . ?i?u ?ó không sai , ?i?u ?ó là có th?t ??????"
Enjoyment,"per 2 con hay cap màn hình nh?t th? gi?i , nói chuy?n v?i nhau toàn c??i ? ??????"
Other,th?c t? thì con gái s? g?c ngã tr??c m?t ng??i ?àn ô hài h??c h?n là ?i?n trai
Sadness,gáy s?m ?? làm gì c? ch? haizz
Surprise,v?y b? ti?n mua cái máy tính ?ó ?? chi ta ???
Enjoyment,?? sao mà cu con ??p quá v?y tr?i ??
Other,có bao gi? con sóng không xô vào b? ?âu em ....
Enjoyment,húp tr?n sàn nhà ??????
Fear,nguy hi?m l?m
Sadness,nhanh ghê m?i ?ó ?ã 9 n?m r?i ??
Disgust,th? mà cô y?n b? ph?t có 5 tri?u :v
Other,?ó là ??ng l?c ch? không ph?i ?? ?em ra so sánh ..
Fear,"hòi nh? nhà ngo?i b? r??t mu?n ch?t , s? t?i gi? ????"
Enjoyment,à thì ra là nh? v =))))
Enjoyment,"mu?n hun , mu?n ng?t , mu?n nhéo , mu?n tán vào cái m?t nó ghê , yêu vãi ??????"
Disgust,con mèo ?úng là cái ?? ?áng ghét
Enjoyment,gi? tao m?i nh? tao ?ã t?ng :))
Sadness,per ch? rep khách hàng th? ?y h? ?? b? bóc ph?t r?i
Other,tao mà nh?u xong ?i cái ???ng này xác ??nh
Sadness,c?ng tên qu?nh nh?ng 2 s? ph?n th?t khác nhau ??( ch? mong ???c 1 góc nh? xiu xíu c?a b )
Other,quan tr?ng là h? qu?ng cáo nói có ?úng không . hay là ???c ít n?m h?ng thì m?t
Enjoyment,c?ng may tao là m?t con ?àn ông :))
Enjoyment,các anh ch? hãy nói v?i em ?ó ch? là di?n xu?t mà thôi . và tình yêu nh? v?y ch? có trong ti?u thuy?t mà thôi .
Disgust,?ó là ??i v?i m?y ??a hay ?o t??ng m?i ngh? v?y thôi
Other,"khi theo ?u?i s? ?u tú , s? thành công s? theo ?u?i b?n"
Surprise,vài ch?c n?m trôi qua mà v?n ch?a ?? ti?n mua cái xe máy à
Other,cái gì c?ng có 2 m?t c?a nó . làm vi?c ph?i nghe b?ng 2 tai
Other,v?i mà có nhi?u ng??i quan ni?m quá sai l?m v? vi?c có b?n là con trai .
Other,làm sao b?ng ch?y xe ôm v?i bán ch?i ???c ..... nên ??ng nói chuy?n ??n l??ng .
Sadness,"nh? ?i hi?n máu ch?ng h?n :3 , su?t thì ???c g?p :("
Disgust,per l?i nh?ng lên à . c?m th?y trong s?ch thì c?n gì nh?ng lên th?
Disgust,vui ch?i không an toàn gì c?
Enjoyment,r?t ghét phim ?n nh?ng ph?i nói phim này hay ??
Sadness,haiz nuôi ???c nuôi không thì thôi ch? nuôi mà ?? v coi ???c haizz
Disgust,nó quan tâm mày vì nó mu?n mua chu?c mày ?? tán con b?n thân c?a mày
Sadness,per eo ôi làm nh? h?i nh? ?i h?c m?u giáo quá :)))
Other,per :v t?i nhi?u n?i ?? v? nên ?ông l?i càng ?ông . bi?t l?i t?t thì còn ?? ch? không thì m?t l?m
Fear,per s? ghê bây .
Sadness,?ây chính là l? do tao gi?m cân toàn th?t b?i
Other,tao ?i quài v?n ch?a g?p nh? ??
Disgust,r?t cu?c th?ng bé này ? ?âu xu?t hi?n mà có ?nh ch? nhi?u v?y
Enjoyment,?áng yêu quá m?c
Disgust,cô ngu nh? l?n ??????
Disgust,r?t c?c m?nh quá nên ngh? võ c?ng ch? t?ng thêm ?? ng?u thôi :))) ch? y?u ??i v?i sai ch? là m?t pha s? l? c?ng k?n :))
Enjoyment,ch? 1 vãi nh? th mà ni?m vui quá l?n < 3 ^^
Enjoyment,c?ng may là h?t th?i ?i h?c r?i .. không l?i t? “ con nhà ng??i ta ” nó l?i ???c nh?c liên t?c trog b?a ?n hàng ngày ??
Disgust,"ch? sao n?a , làm gì có chuy?n ng??i ta ?? ?úng mà l?i gây t?c ???ng . ch? có nh?ng ng??i m?t hay b? ng?a cho r?ng s? gây t?c ???ng thôi ?"
Sadness,còn các b?n ??t bánh c?a mình toàn g?i cho ng??i yêu . ch?c câu chuy?n này còn bu?n h?n :((
Enjoyment,tin vui cho bà con nông dân chuân bi vào ngày g?t lúa s?p t?i
Enjoyment,em h?t ngáo r?i nha =)))
Sadness,"mình s? nh?t ??n b?a ?n mà b? mình vác cái th?t vào mâm c?m , b? mình bi?t mình s? v?y nên m?i chi?n gi?i quy?t sau khi ?n c?m xong ,"
Sadness,khuôn m?t ?áng th??ng
Disgust,"cái lo?i l??i lao ??ng , vì nh?ng ng??i hay lao ??ng tay chân thì h? không bao gi? nuôi ???c móng tay c? ..."
Other,per mày có bao gi? ?i à :> tao c?ng ?éo
Other,ch?p r?i có mua giúp ông không ?
Other,cái gì nó c?ng ph?i th?c t?
Sadness,?ang trong l?p mà ?a n??c m?t
Disgust,"lái tàu quá kém không d?ng kh?n c?p . ?? va ch?m th? mà v?n c? tình ch?y , kh? thân chi?c xe ôtô"
Enjoyment,kha ? thông minh :))))
Disgust,nó mà có con khác r?i gi?n l?i nó cho cút luôn l?i b?o sao ngu :))
Enjoyment,a c? ??a h?t l??ng ?ây cho em :))) em s? cho anh ti?n r?a bát
Fear,"ám ?nh vãi :)) h?i bé tao v?i ch? tao trên ???ng ?i h?c v? th?y có m?y con ng?ng , th?y hay ra nhìn th? dume xong nó dí tao v?i ch? tao v? g?n nhà :)))"
Other,c?t tóc ?i còn ?en h?n
